Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000213	Solyc01T001426.1, Solyc04T001180.1, Solyc09T001908.1, Solyc12T001448.1, Solyc01T003328.1, Solyc04T000748.1, Solyc07T000950.1, Solyc03T001405.1, Solyc12T001786.1, Solyc10T001601.1, Solyc05T001063.1, Solyc02T000712.1, Solyc08T000905.1, Solyc08T001525.1, Solyc07T002430.1, Solyc11T001608.1, Solyc12T001172.1, Solyc12T001171.1, Solyc12T001169.1, Solyc01T001039.1, Solyc01T001530.1, Solyc05T001715.1, Solyc03T001406.1, Solyc07T000949.1, Solyc03T001537.1, Solyc01T000810.1, Solyc05T001064.1, Solyc04T000956.1, Solyc03T001613.1	CDY71686
OG0000217	Solyc11T001293.1, Solyc01T002670.1, Solyc01T001309.1, Solyc10T001619.1, Solyc04T000967.1, Solyc11T001160.1, Solyc01T001245.1, Solyc06T000961.1, Solyc03T001592.1, Solyc06T000369.1, Solyc01T000437.1, Solyc01T001297.1, Solyc02T000764.1, Solyc06T000644.1, Solyc10T002188.1, Solyc05T002042.1, Solyc06T000935.1, Solyc08T000600.1, Solyc07T000387.1, Solyc05T000988.1, Solyc01T001893.1, Solyc03T000666.1, Solyc01T001344.1, Solyc08T000778.1, Solyc11T001035.1, Solyc03T001804.1, Solyc03T000818.1, Solyc12T001856.1, Solyc09T001983.1, Solyc10T000953.1, Solyc12T002099.1, Solyc08T001240.1, Solyc06T000708.1, Solyc05T000985.1, Solyc10T001050.1	CDY02791, CDY67764
OG0000222	Solyc05T001132.1, Solyc11T001485.1	CDY36169
OG0000223	Solyc02T001451.1	CDX87758, CDY50483, CDX77621, CDY58055
OG0000223	Solyc12T002186.1	CDY39575, CDY48170, CDY48172
OG0000224	Solyc05T001498.1, Solyc03T001563.1, Solyc11T000513.2, Solyc11T000514.1, Solyc11T000476.1	CDY52520, CDX90391, CDY52519
OG0000225	Solyc09T000744.3	CDX86069, CDX99119, CDY56096, CDY60563, CDX71079, CDX88719, CDY49575
OG0000225	Solyc09T001525.1, Solyc06T002490.1, Solyc06T002491.1, Solyc06T002493.1, Solyc04T002217.1	CDY45447, CDY53372, CDY53371, CDY45448, CDY51363, CDX97881
OG0000230	Solyc08T001656.1, Solyc10T001696.1, Solyc05T001800.1, Solyc05T002054.1, Solyc03T002050.1, Solyc03T002014.1, Solyc09T001408.1, Solyc01T001878.1, Solyc08T001074.1, Solyc12T001893.1, Solyc01T001221.1, Solyc03T003509.1, Solyc12T001888.1, Solyc12T000731.1, Solyc10T001061.1, Solyc11T001126.1, Solyc09T000843.1, Solyc03T001931.1, Solyc06T001005.1, Solyc07T000696.1, Solyc01T004316.2, Solyc02T000427.1, Solyc05T001166.1, Solyc02T000576.1	CDY33679, CDY72341, CDY20424, CDX81269, CDY40870, CDY20155, CDX71270, CDX75111
OG0000235	Solyc03T001869.1	CDY43546, CDX68613, CDY01410, CDY12853, CDY01408, CDY12856, CDY68392
OG0000236	Solyc05T002101.1, Solyc01T002874.1	CDX91889, CDX74352
OG0000236	Solyc11T002526.1	CDY06283, CDY22716
OG0000236	Solyc06T000015.1	CDX86029, CDX99153
OG0000236	Solyc08T000452.1, Solyc12T000937.1	CDX79801, CDY17911, CDX83459, CDY44256
OG0000239	Solyc12T001732.1, Solyc07T002598.1, Solyc04T000773.1, Solyc04T000772.1, Solyc04T000766.1, Solyc04T000784.1, Solyc04T000767.1, Solyc12T001733.1, Solyc07T002600.1	CDY13158
OG0000246	Solyc01T003962.1, Solyc01T003963.1, Solyc01T003964.1, Solyc01T003970.1	CDX89662, CDY13143, CDX71221, CDY36633, CDX96594, CDY65110, CDY65498, CDX76262, CDX75400, CDX69028, CDX69027, CDX75399, CDY53948, CDY45706, CDX76261
OG0000248	Solyc02T002708.1, Solyc04T002506.1, Solyc08T000187.1, Solyc02T002359.1	CDY03583, CDY45043, CDY50974, CDY28123, CDY66630
OG0000249	Solyc03T000677.1	CDX87974, CDY12351
OG0000249	Solyc05T000351.1, Solyc05T000352.1	CDX81701, CDY71492, CDY39617, CDY36531, CDY52017, CDX83993
